YearsExperience,Salary
1.1,39343
1.3,46205
1.5,37731
2.0,43525
2.2,39891
2.9,56642
3.0,60150
3.2,54445
3.2,64445
3.7,57189
3.9,63218
4.0,55794
4.0,56957
4.1,57081
4.5,61111
4.9,67938
5.1,66029
5.3,83088
5.9,81363
6.0,93940
6.8,91738
7.1,98273
7.9,101302
8.2,113812
8.7,109431
9.0,105582
9.5,116969
9.6,112635
10.3,122391
10.5,121872
11.2,127345
11.5,126756
12.3,128765
12.9,135675
13.5,139465
5.7,86708
12.9,134105
10.2,120227
8.5,103328
3.0,60012
2.9,58450
1.8,42131
11.8,137025
8.5,105436
9.9,114406
1.3,34685
13.1,133644
11.4,127419
3.7,64570
3.3,55636
3.4,61895
7.9,101662
6.5,88846
6.4,94218
2.8,55536
7.5,101962
3.5,58273
1.7,35777
8.7,113426
4.8,70741
10.8,128493
3.6,65663
7.5,98881
8.4,100964
1.7,39961
8.6,94900
3.2,63402
1.9,44383
12.9,139038
13.1,150329
